Timestamp,CPU Usage (%),Memory Usage (%),PID,Process Name,User,Local IP,Local Port,Remote IP,Remote Port,Status
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,56490,142.250.182.170,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,54907,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,52886,127.0.0.1,8080,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,8080,127.0.0.1,52885,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,60980,35.186.224.40,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,54903,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,62810,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,51720,77.74.181.34,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,52000,77.74.181.38,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,56076,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,64113,172.217.166.99,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,53360,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,55641,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,::1,49738,::1,5426,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,56792,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,61160,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,62301,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,51591,35.186.224.24,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,52019,35.186.224.40,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,62810,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,53299,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,55725,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,54903,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,53394,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49766,127.0.0.1,65001,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,61145,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,52895,46.8.206.82,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,62814,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,53950,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,53952,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,56792,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,58389,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,62804,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,62803,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,57784,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,::1,49763,::1,5426,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,61323,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,58399,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,61670,35.186.224.22,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,55740,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,49513,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,56076,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,::1,49729,::1,5426,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,55733,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,192.168.29.154,52482,142.250.77.195,443,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,54460,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,53397,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,61384,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,53346,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,53303,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,53899,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,55740,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,58389,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,62410,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,49695,127.0.0.1,62931,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,50131,127.0.0.1,49695,ESTABLISHED
2024-09-27 21:45:47,11.3,69.1,0,System Idle Process,NT AUTHORITY\SYSTEM,127.0.0.1,3000,127.0.0.1,51753,ESTABLISHED
